numforgame,rowforgame,rowforextra,inning,away,home,rem_type,base1,base2,base3,id,Player,direction,result,out,follow.up,special,log
2,13,1,1下,兄弟(0),(0)統一,24,鄧志偉,郭俊佑,劉芙豪,第六棒,高國慶,右,接殺,二出局,0,,6.第六棒1B高國慶:外野飛球，遭到RF接殺，三出局
2,14,1,1下,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(0):(0)統一
2,15,1,2上,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,2上
2,16,1,2上,兄弟(0),(0)統一,1,NA,NA,NA,第四棒,彭政閔,內,接殺,零出局,0,,1.第四棒1B彭政閔:內野平飛球，遭到1B接殺，一出局
2,17,1,2上,兄弟(0),(0)統一,2,NA,NA,NA,第五棒,周思齊,,三振,一出局,0,,2.第五棒LF周思齊:揮棒落空，遭到三振，二出局
2,18,1,2上,兄弟(0),(0)統一,3,NA,NA,NA,第六棒,林威助,,三振,二出局,0,,3.第六棒DH林威助:沒有出棒遭到三振，三出局
2,19,1,2上,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(0):(0)統一
2,20,1,2下,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,2下
2,21,1,2下,兄弟(0),(0)統一,1,NA,NA,NA,第七棒,黃恩賜,右,接殺,零出局,0,,1.第七棒3B黃恩賜:外野飛球，遭到RF接殺，一出局
2,22,1,2下,兄弟(0),(0)統一,2,NA,NA,NA,第八棒,高志綱,內,封殺,一出局,0,,2.第八棒C高志綱:內野滾地球，2B接到傳向一壘，二出局
2,23,1,2下,兄弟(0),(0)統一,3,NA,NA,NA,第九棒,王寶篁,,三振,二出局,0,,3.第九棒2B王寶篁:沒有出棒遭到三振，三出局
2,24,1,2下,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(0):(0)統一
2,25,1,3上,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,3上
2,26,1,3上,兄弟(0),(0)統一,1,NA,NA,NA,第七棒,陳智弘,左,接殺,零出局,0,,1.第七棒C陳智弘:外野飛球，遭到LF接殺，一出局
2,27,1,3上,兄弟(0),(0)統一,2,NA,NA,NA,第八棒,陳江和,右,一壘安打,一出局,0,,2.第八棒2B陳江和:右外野一壘安打
2,28,1,3上,兄弟(0),(0)統一,5,陳江和,NA,NA,第九棒,王勝偉,內,接殺,一出局,0,,3.第九棒SS王勝偉:內野飛球，2B接殺，二出局
2,29,1,3上,兄弟(0),(0)統一,6,陳江和,NA,NA,第一棒,張正偉,內,,二出局,0,,4.第一棒RF張正偉:內野滾地球，投手接到傳給1B，三出局
2,30,1,3上,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(0):(0)統一
2,31,1,3下,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,3下
2,32,1,3下,兄弟(0),(0)統一,1,NA,NA,NA,第一棒,劉芙豪,內,封殺,零出局,0,,1.第一棒RF劉芙豪:內野滾地球，SS接到傳向一壘，一出局
2,33,1,3下,兄弟(0),(0)統一,2,NA,NA,NA,第二棒,郭俊佑,,三振,一出局,0,,2.第二棒CF郭俊佑:三振，二出局
2,34,1,3下,兄弟(0),(0)統一,3,NA,NA,NA,第三棒,潘武雄,內,封殺,二出局,0,,3.第三棒潘武雄:內野滾地球，1B接到傳給補位的投手，三出局
2,35,1,3下,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(0):(0)統一
2,36,1,4上,兄弟(0),(0)統一,,NA,NA,NA,,,,,NA,,,4上
2,37,1,4上,兄弟(0),(0)統一,1,NA,NA,NA,第二棒,張志豪,左,二壘安打,零出局,1,,1.第二棒張志豪:左外野二壘安打
2,38,1,4上,兄弟(0),(0)統一,7,NA,張志豪,NA,第三棒,羅培茲,右,接殺,零出局,1,warning,2.第三棒羅培茲:外野飛球，遭到RF接殺，跑者上到三壘，一出局
2,39,1,4上,兄弟(0),(0)統一,8,NA,NA,張志豪,第四棒,彭政閔,右,高飛犧牲打犧牲短打,一出局,1,warning,3.第四棒彭政閔:右外野飛球形成高飛犧牲打，帶有一分打點，二出局
2,40,1,4上,兄弟(0),(0)統一,9,NA,NA,NA,第五棒,周思齊,,三振,二出局,1,,4.第五棒周思齊:三振，三出局
2,41,1,4上,兄弟(1),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(1):(0)統一
2,42,1,4下,兄弟(1),(0)統一,,NA,NA,NA,,,,,NA,,,4下
2,43,1,4下,兄弟(1),(0)統一,1,NA,NA,NA,第四棒,鄧志偉,右,二壘安打,零出局,0,,1.第四棒鄧志偉:右外野二壘安打
2,44,1,4下,兄弟(1),(0)統一,7,NA,鄧志偉,NA,第五棒,陳鏞基,左,接殺,零出局,0,warning,2.第五棒陳鏞基:外野飛球，遭到LF接殺，跑者上到三壘，一出局
2,45,1,4下,兄弟(1),(0)統一,8,NA,NA,鄧志偉,第六棒,高國慶,內,夾殺,一出局,0,warning,3.第六棒高國慶:內野滾地球，3B接到傳給C，原三壘跑者鄧志偉遭夾殺，二出局
2,46,1,4下,兄弟(1),(0)統一,9,高國慶,NA,NA,第七棒,黃恩賜,左,接殺,二出局,0,,4.第七棒黃恩賜:外野飛球，遭到LF接殺，三出局
2,47,1,4下,兄弟(1),(0)統一,,NA,NA,NA,,,,,NA,,,兄弟(1):(0)統一
2,48,1,5上,兄弟(1),(0)統一,,NA,NA,NA,,,,,NA,,,5上
2,49,1,5上,兄弟(1),(0)統一,1,NA,NA,NA,第六棒,林威助,左,全壘打,零出局,1,,1.第六棒林威助:左外野陽春全壘打，帶有一分打點
2,50,1,5上,兄弟(1),(0)統一,1,NA,NA,NA,第七棒,陳智弘,,三振,零出局,1,,2.第七棒陳智弘:三振，一出局
2,51,1,5上,兄弟(1),(0)統一,2,NA,NA,NA,第八棒,陳江和,中,一壘安打,一出局,1,,3.第八棒陳江和:二壘防區穿越一壘安打
2,52,1,5上,兄弟(1),(0)統一,5,陳江和,NA,NA,第九棒,王勝偉,內,,一出局,1,warning,4.第九棒王勝偉:內野滾地球，SS接到傳給2B使跑者出局，打者上到一壘，二出局
2,53,1,5上,兄弟(1),(0)統一,6,王勝偉,NA,NA,第一棒,張正偉,中,一壘安打,二出局,1,,5.第一棒張正偉:中外野一壘安打
