"numforgame","rowforgame","rowforextra","inning","away","home","rem_type","base1","base2","base3","id","Player","direction","result","out","follow.up","special","log"
25,28,1,"3上","兄弟(0)","(0)桃猿",21,NA,"張正偉","王勝偉","第四棒","彭政閔","左","接殺","二出局",0,"warning","5.第四棒彭政閔:外野飛球，遭到LF接殺，三出局兄弟(0):(0)桃猿"
25,48,1,"5上","兄弟(1)","(0)桃猿",6,"林威助",NA,NA,"第四棒","彭政閔","","保送","二出局",0,"","4.第四棒彭政閔:四壞球保送，跑者分佔一、二壘"
25,76,1,"8上","兄弟(1)","(1)桃猿",2,NA,NA,NA,"第四棒","彭政閔","","三振","一出局",0,"","2.第四棒彭政閔:三振，二出局"
27,6,1,"1上","兄弟(0)","(0)桃猿",6,"林威助",NA,NA,"第四棒","彭政閔","內","封殺","二出局",0,"warning","4.第四棒彭政閔:內野滾地球，3B接到傳向二壘使跑者出局，三出局兄弟(0):(0)桃猿"
27,33,1,"4上","兄弟(0)","(2)桃猿",3,NA,NA,NA,"第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","3.第四棒彭政閔:內野滾地球，2B接到傳向一壘刺殺打者，三出局兄弟(0):(2)桃猿"
27,66,1,"7上","兄弟(0)","(5)桃猿",3,NA,NA,NA,"第四棒","彭政閔","","保送","二出局",0,"","3.第四棒彭政閔:四壞球保送"
27,92,1,"9上","兄弟(0)","(6)桃猿",6,"林威助",NA,NA,"第四棒","彭政閔","左","全壘打","二出局",2,"","4.第四棒彭政閔:左外野全壘打，帶有2分打點"
28,6,1,"1上","兄弟(0)","(0)統一",9,NA,"張志豪",NA,"第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","4.第四棒彭政閔:內野滾地球，SS接到傳向一壘刺殺打者，三出局兄弟(0):(0)統一"
28,30,1,"3上","兄弟(0)","(2)統一",14,"林威助","張志豪",NA,"第四棒","彭政閔","內","形成安打","一出局",4,"warning","4.第四棒彭政閔:投手正面強襲球，形成安打，帶有1分打點羅錦龍退場，統一更換投手:江承峰"
28,49,1,"4上","兄弟(5)","(5)統一",14,"林威助","張志豪",NA,"第四棒","彭政閔","內","封殺雙殺","一出局",0,"warning","5.第四棒彭政閔:內野滾地球，3B接到自踩三壘壘包再傳一壘，形成雙殺兄弟(5):(5)統一"
28,74,1,"6上","兄弟(6)","(6)統一",3,NA,NA,NA,"第四棒","彭政閔","右","接殺","二出局",0,"warning","3.第四棒彭政閔:外野飛球，遭到RF接殺，三出局兄弟(6):(6)統一"
28,104,1,"8上","兄弟(8)","(9)統一",9,NA,"陳弘桂",NA,"第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","6.第四棒彭政閔:內野滾地球，2B接到傳向一壘刺殺打者，三出局兄弟(8):(9)統一"
30,6,1,"1上","兄弟(4)","(0)統一",13,"林威助","陳子豪",NA,"第四棒","彭政閔","中","二壘安打","零出局",0,"warning","4.第四棒彭政閔:中外野二壘安打，帶有1分打點，跑者分佔二、三壘"
30,26,1,"3上","兄弟(4)","(0)統一",1,NA,NA,NA,"第四棒","彭政閔","中","全壘打","零出局",1,"","1.第四棒彭政閔:中外野陽春全壘打，帶有1分打點"
30,53,1,"5上","兄弟(5)","(6)統一",2,NA,NA,NA,"第四棒","彭政閔","右","二壘安打","一出局",3,"","2.第四棒彭政閔:右外野二壘安打"
30,74,1,"7上","兄弟(9)","(6)統一",1,NA,NA,NA,"第四棒","彭政閔","中","一壘安打","零出局",0,"","1.第四棒彭政閔:中間方向穿越一壘安打"
30,99,1,"9上","兄弟(9)","(9)統一",2,NA,NA,NA,"第四棒","彭政閔","右","接殺","一出局",0,"","2.第四棒彭政閔:外野飛球，遭到RF接殺，二出局"
32,6,1,"1上","兄弟(1)","(0)統一",16,"林威助",NA,"陳子豪","第四棒","彭政閔","","保送","零出局",0,"","4.第四棒彭政閔:四壞球保送，滿壘"
32,28,1,"3上","兄弟(1)","(1)統一",6,"林威助",NA,NA,"第四棒","彭政閔","右","接殺","二出局",0,"warning","4.第四棒彭政閔:外野飛球，遭到RF接殺，三出局兄弟(1):(1)統一"
32,53,1,"6上","兄弟(1)","(1)統一",2,NA,NA,NA,"第四棒","彭政閔","中","接殺","一出局",0,"","2.第四棒彭政閔:外野飛球，遭到中外野接殺，二出局"
32,76,1,"8上","兄弟(1)","(3)統一",3,NA,NA,NA,"第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","3.第四棒彭政閔:內野滾地球，2B接到傳向一壘刺殺打者，三出局兄弟(1):(3)統一"
34,13,1,"1下","桃猿(0)","(1)兄弟",13,"林威助","陳子豪",NA,"第四棒","彭政閔","","保送","零出局",4,"","4.第四棒1B彭政閔:獲得四壞球保送，形成滿壘"
34,31,1,"2下","桃猿(0)","(5)兄弟",6,"林威助",NA,NA,"第四棒","彭政閔","內","雙殺","二出局",0,"","3.第四棒1B彭政閔:三壘方向滾地球形成雙殺，三出局"
34,63,1,"5下","桃猿(3)","(5)兄弟",2,NA,NA,NA,"第四棒","彭政閔","左","刺殺","一出局",0,"","2.第四棒1B彭政閔:游擊方向滾地球遭到刺殺，二出局"
34,93,1,"7下","桃猿(4)","(6)兄弟",1,NA,NA,NA,"第四棒","彭政閔","","保送","零出局",0,"","1.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
34,94,1,"7下","桃猿(4)","(6)兄弟",4,"彭政閔",NA,NA,"","","","盜壘","零出局",0,"warning","彭政閔盜壘成功，二壘有人"
36,12,1,"1下","桃猿(2)","(0)兄弟",6,"林威助",NA,NA,"第四棒","彭政閔","內","封殺","二出局",0,"","4.第四棒1B彭政閔:三壘方向滾地球封殺往二壘跑者，三出局"
36,43,1,"4下","桃猿(2)","(1)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","接殺","零出局",0,"","1.第四棒1B彭政閔:二壘方向平飛球遭到接殺，一出局"
36,70,1,"6下","桃猿(4)","(2)兄弟",1,NA,NA,NA,"第四棒","彭政閔","右","接殺","零出局",0,"","1.第四棒1B彭政閔:右外野飛球遭到接殺，一出局"
36,93,1,"8下","桃猿(4)","(2)兄弟",3,NA,NA,NA,"第四棒","彭政閔","","保送","二出局",0,"","3.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
38,15,1,"1下","統一(0)","(1)兄弟",9,NA,"張正偉",NA,"第四棒","彭政閔","左","左外野安打","二出局",0,"","4.第四棒1B彭政閔:左外野安打，帶有一分打點，一壘有人"
38,42,1,"4下","統一(0)","(1)兄弟",2,NA,NA,NA,"第四棒","彭政閔","右","二壘安打","一出局",0,"","2.第四棒1B彭政閔:右外野二壘安打，二壘有人"
38,66,1,"6下","統一(1)","(1)兄弟",9,NA,"陳子豪",NA,"第四棒","彭政閔","中","接殺","二出局",0,"","4.第四棒1B彭政閔:中外野飛球遭到接殺，三出局"
38,101,1,"8下","統一(3)","(2)兄弟",5,"陳子豪",NA,NA,"第四棒","彭政閔","","保送","一出局",1,"","3.第四棒1B彭政閔:獲得四壞球保送，一二壘有人"
38,102,1,"8下","統一(3)","(2)兄弟",14,"彭政閔","陳子豪",NA,"第五棒","周思齊","中","穿越安打穿越安打觸殺","一出局",1,"warning","4.第五棒DH周思齊:中間方向穿越安打，帶有一分打點，彭政閔上三壘遭到觸殺，一壘有人，二出局"
40,14,1,"1下","統一(1)","(0)兄弟",9,NA,"張正偉",NA,"第四棒","彭政閔","","保送","二出局",0,"","4.第四棒1B彭政閔:獲得四壞球保送，一二壘有人"
40,35,1,"3下","統一(1)","(1)兄弟",5,"林威助",NA,NA,"第四棒","彭政閔","右","接殺","一出局",0,"","4.第四棒1B彭政閔:右外野飛球遭到接殺，二出局"
40,61,1,"6下","統一(1)","(1)兄弟",2,NA,NA,NA,"第四棒","彭政閔","","保送","一出局",0,"","2.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
40,90,1,"8下","統一(2)","(1)兄弟",6,"張正偉",NA,NA,"第四棒","彭政閔","左","穿越安打穿越安打","二出局",1,"","4.第四棒1B彭政閔:三游間穿越安打，帶有一分打點，一壘有人"
40,91,1,"8下","統一(2)","(2)兄弟",6,"彭政閔",NA,NA,"","","","盜壘失敗","二出局",0,"warning","統一(2):(2)兄弟彭政閔盜壘失敗，三出局"
40,127,1,"10下","統一(6)","(3)兄弟",20,NA,"陳弘桂","張正偉","第四棒","彭政閔","","保送","一出局",0,"","5.第四棒1B彭政閔:獲得四壞球保送，形成滿壘"
42,11,1,"1下","統一(0)","(1)兄弟",6,"陳子豪",NA,NA,"第四棒","彭政閔","右","接殺","二出局",0,"","4.第四棒1B彭政閔:右外野飛球遭到接殺，三出局"
42,32,1,"3下","統一(0)","(1)兄弟",6,"陳子豪",NA,NA,"第四棒","彭政閔","左","穿越安打穿越安打","二出局",3,"","5.第四棒1B彭政閔:三游間穿越安打，一二壘有人"
42,57,1,"5下","統一(0)","(4)兄弟",2,NA,NA,NA,"第四棒","彭政閔","內","刺殺","一出局",0,"","2.第四棒1B彭政閔:三壘方向滾地球遭到刺殺，二出局"
42,79,1,"7下","統一(0)","(5)兄弟",5,"郭健瑜",NA,NA,"第四棒","彭政閔","","保送","一出局",0,"","4.第四棒1B彭政閔:獲得四壞球保送，一二壘有人"
45,6,1,"1上","兄弟(1)","(0)義大",5,"郭健瑜",NA,NA,"第四棒","彭政閔","","刺殺","一出局",0,"warning","4.第四棒1B彭政閔:三壘滾地遭刺殺，三壘跑者跑回本壘，帶有一分打點，二出局兄弟(1):(0)義大"
45,48,1,"4上","兄弟(1)","(12)義大",1,NA,NA,NA,"第四棒","彭政閔","","刺殺","零出局",0,"","1.第四棒1B彭政閔:二壘滾地遭刺殺，一出局"
45,71,1,"6上","兄弟(1)","(12)義大",3,NA,NA,NA,"第四棒","彭政閔","","保送","二出局",2,"","3.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
